room_type,host_acceptance_rate,price,availability_365,review_scores_rating,review_scores_cleanliness,review_scores_communication,number_of_reviews
1,1.00,4001.00,363,4.96,4.93,4.93,0
2,1.00,500.00,363,4.96,4.93,4.93,27
2,0.67,599.00,323,4.73,4.7,4.91,144
1,0.79,18000.00,331,4.59,4.7,4.75,58
1,1.00,740.00,314,4.85,4.8,4.95,61
1,0.92,650.00,354,4.88,4.92,4.93,76
1,1.00,1441.00,319,4.45,4.54,4.72,51
1,0.36,1797.00,1,5,4.87,5,47
2,0.79,1198.00,175,4.91,4.91,4.95,58
1,0.63,2496.00,324,4.93,4.8,4.9,43
1,0.00,900.00,206,4.56,4.51,4.89,46
1,1.00,1178.00,156,4.9,4.95,4.98,113
1,0.00,850.00,326,4.83,4.72,4.89,18
1,0.00,971.00,206,4.69,4.56,4.94,17
1,0.99,3754.00,281,5,5,4.78,10
1,0.99,600.00,233,4.75,4.88,4.96,25
2,0.99,1360.00,88,4.88,4.86,4.93,0
1,0.99,3794.00,238,4.88,4.86,4.93,281
2,0.62,440.00,297,4.73,4.67,4.92,127
2,0.69,290.00,300,4.8,4.57,4.94,84
2,0.00,460.00,269,4.75,5,5,8
1,0.00,1897.00,213,4.83,4.84,4.93,136
3,0.88,1098.00,348,4.97,4.94,5,31
1,1.00,1093.00,143,4.75,4.68,4.85,40
3,0.00,600.00,364,4.89,5,5,9
1,1.00,50000.00,0,4.55,4.65,4.88,99
3,0.88,998.00,345,4.98,4.91,5,44
1,1.00,5000.00,265,4.67,4.58,4.79,24
1,1.00,2000.00,0,4.68,4.8,5,65
1,0.88,998.00,349,4.91,4.91,4.91,22
1,0.81,799.00,325,4.57,4.64,4.81,171
3,0.88,998.00,327,4.95,4.95,5,19
1,0.57,1200.00,328,4.58,4.31,4.85,27
1,0.62,2796.00,259,4.8,4.79,4.94,217
1,0.89,802.00,204,4.84,4.81,4.97,31
1,0.69,1638.00,295,4.92,4.94,4.96,52
1,0.97,899.00,308,4.84,4.84,4.95,309
1,1.00,810.00,285,4.74,4.73,4.92,142
1,0.70,599.00,0,4.88,4.95,4.95,87
1,1.00,1555.00,301,4.84,4.92,4.93,468
2,1.00,524.00,346,4.06,4.35,4.29,18
1,0.99,3315.00,238,4.9,4.89,4.94,310
1,1.00,1726.00,322,4.82,4.94,4.69,404
1,0.79,1997.00,0,4.78,4.89,4.78,0
2,0.79,799.00,364,4.78,4.89,4.78,9
3,0.79,2860.00,347,4.71,5,5,7
1,0.83,7001.00,260,5,5,5,18
1,1.00,599.00,316,4.59,4.64,4.86,367
2,0.81,600.00,365,4.65,4.6,4.8,0
1,0.81,799.00,292,4.65,4.6,4.8,189
2,1.00,280.00,315,4.96,4.9,4.94,51
1,1.00,600.00,155,4.78,4.73,4.9,42
1,1.00,1358.00,0,4.83,4.87,4.89,326
2,0.77,499.00,68,4.78,4.85,4.86,107
2,0.57,779.00,336,4.85,4.96,4.74,27
2,1.00,346.00,319,4.79,4.83,4.92,197
2,1.00,600.00,6,4.86,4.8,4.93,115
2,0.64,1177.00,337,4.93,4.97,4.9,146
2,0.67,300.00,0,4.81,4.75,5,16
2,0.93,450.00,338,4.9,4.84,4.97,31
2,1.00,258.00,365,0,4.64,4.96,1
2,0.86,1300.00,363,4.92,4.64,4.96,0
1,0.74,850.00,205,4.92,4.64,4.96,26
1,1.00,1538.00,7,4.81,4.84,4.94,337
2,0.74,440.00,204,4.78,5,4.89,9
1,1.00,4893.00,96,5,5,5,6
2,1.00,1098.00,365,4.88,4.63,4.97,0
2,1.00,502.00,68,4.88,4.63,4.97,127
2,0.00,2000.00,365,4.94,5,5,0
2,0.00,420.00,264,4.94,5,5,17
1,0.00,900.00,364,4.63,4.39,4.83,50
1,0.95,1598.00,287,4.84,4.91,4.78,34
1,0.38,2358.00,71,4.86,4.9,4.86,23
1,0.83,1178.00,352,2.83,3.5,3.67,6
1,1.00,579.00,142,4.49,4.53,4.74,392
2,1.00,899.00,364,4.69,4.92,5,13
2,0.56,13500.00,358,4.69,4.73,4.84,51
1,0.94,2904.00,80,4.86,4.93,4.92,137
1,0.64,959.00,274,4.54,4.69,4.73,26
2,0.00,700.00,365,4.89,4.78,4.85,0
1,0.99,3375.00,281,4.89,4.78,4.85,75
2,0.97,297.00,352,4.64,4.91,4.64,11
2,0.96,350.00,55,5,5,5,1
1,1.00,2300.00,0,4.75,4.75,5,20
2,0.00,500.00,363,5,5,5,3
2,0.00,420.00,264,4.88,5,4.96,26
2,0.00,659.00,88,4.84,4.94,4.89,53
2,0.00,500.00,365,1,1,3,2
2,0.00,600.00,351,4.89,4.94,4.88,0
1,0.97,1569.00,231,4.89,4.94,4.88,247
1,0.86,420.00,109,4.58,4.17,4.67,38
2,0.33,2496.00,365,4.93,4.98,4.89,116
2,1.00,800.00,265,5,5,5,2
1,0.99,1258.00,205,4.83,4.8,4.91,55
2,0.99,561.00,365,5,5,5,1
1,0.99,759.00,344,4.42,4.7,4.72,64
1,0.62,2796.00,277,4.83,4.75,4.97,162
1,0.59,980.00,203,4.78,4.88,4.89,130
1,0.96,749.00,325,4.93,4.87,4.97,31
1,1.00,1700.00,121,4.92,4.95,4.98,300
2,0.74,290.00,204,4.81,4.78,5,28
2,0.88,1143.00,279,4.91,4.96,4.83,0
1,0.70,3734.00,107,4.91,4.96,4.83,24
1,0.93,1438.00,329,4.77,4.78,4.97,95
1,0.89,1379.00,157,4.9,4.96,4.89,208
1,0.70,6011.00,217,5,5,5,2
1,0.99,1400.00,38,4.83,4.86,4.94,89
1,1.00,972.00,24,4.95,4.9,4.99,79
2,1.00,550.00,337,4.68,4.69,4.97,198
2,1.00,750.00,349,4.97,4.99,4.97,189
2,0.79,500.00,87,4.96,5,4.96,0
1,0.79,2282.00,171,4.96,5,4.96,26
1,0.99,3620.00,207,4.91,4.95,4.82,264
1,1.00,1061.00,164,4.8,4.9,4.95,212
2,1.00,600.00,365,5,5,5,3
2,1.00,750.00,85,4.89,4.7,4.97,37
1,0.59,697.00,329,4.96,4.96,4.98,49
1,0.98,1800.00,133,4.86,4.89,4.97,296
3,0.79,2900.00,356,4.96,5,5,23
2,1.00,210.00,357,4.96,4.92,4.96,24
1,0.98,1800.00,120,4.92,4.9,4.98,280
3,0.79,2600.00,265,4,5,3,1
2,1.00,550.00,324,4.57,4.43,4.93,15
1,0.97,1977.00,11,5,5,5,15
2,0.99,1278.00,365,4.72,4.78,4.67,0
1,0.99,1518.00,194,4.72,4.78,4.67,67
1,1.00,1957.00,286,4.9,4.93,4.94,279
1,1.00,1130.00,228,4.78,4.81,4.89,117
2,0.79,2200.00,365,4.97,4.97,4.97,31
2,0.79,400.00,87,4.83,4.83,4.83,6
3,0.79,1800.00,358,4.84,4.95,4.89,38
1,0.00,1498.00,352,4.67,4.68,4.59,24
1,0.70,600.00,295,4.67,4.17,4.67,12
1,0.70,4992.00,217,5,5,5,1
1,0.70,5991.00,217,5,5,5,4
1,1.00,1362.00,338,4.73,4.62,4.94,180
1,1.00,850.00,139,4.6,4.71,4.7,309
1,1.00,1519.00,340,4.66,4.76,4.93,102
4,0.20,2000.00,365,4.88,4.83,4.67,0
1,0.20,1298.00,296,4.88,4.83,4.67,8
1,0.70,1000.00,325,4.81,4.9,4.98,91
1,0.97,1569.00,304,4.85,4.84,4.97,267
1,1.00,1631.00,178,4.81,4.78,4.93,273
