room_type,host_acceptance_rate,price,availability_365,review_scores_rating,review_scores_cleanliness,review_scores_communication,number_of_reviews
2,0.95,259.00,239.00,4.4,4.6,4.8,5
2,0.99,279.00,0.00,4.23,4.43,4.58,0
1,0.99,264.00,1.00,4.23,4.43,4.58,53
1,1.00,100.00,51.00,4.98,5,5,67
1,0.97,195.00,324.00,4.84,4.86,4.84,89
1,0.99,143.00,350.00,4.87,4.94,4.93,488
1,0.93,118.00,59.00,4.76,4.71,4.71,20
2,0.00,199.00,234.00,4.72,4.65,4.88,52
1,1.00,130.00,171.00,4.75,4.78,4.89,154
2,0.00,69.00,234.00,4.63,4.78,5,52
2,0.00,139.00,234.00,4.67,4.75,4.75,12
1,1.00,141.00,3.00,4.92,4.86,4.89,391
1,0.71,185.00,327.00,4.88,4.89,4.92,256
1,0.71,300.00,208.00,4.75,5,4.88,8
1,1.00,215.00,144.00,4.98,4.98,4.99,89
1,0.99,215.00,90.00,4.77,4.87,4.93,271
1,0.86,150.00,165.00,4.95,4.98,4.99,84
2,0.67,110.00,365.00,4.93,4.96,4.94,126
1,0.92,100.00,121.00,4.75,4.55,4.8,20
1,0.92,86.00,180.00,4.48,4.61,4.74,28
1,0.92,300.00,267.00,5,4.79,5,19
1,0.92,76.00,341.00,4.5,4.8,4.67,25
1,0.92,76.00,195.00,4.41,4.72,4.72,18
1,0.92,113.00,270.00,4.48,4.7,4.83,23
2,0.67,120.00,352.00,4.89,4.98,4.9,92
1,0.82,140.00,206.00,4.93,5,4.96,48
1,0.77,1200.00,296.00,4.77,4.77,4.73,26
1,0.92,76.00,54.00,4.44,4.69,4.73,26
1,0.92,113.00,220.00,4.45,4.45,4.72,34
1,0.92,76.00,218.00,4.67,4.73,4.73,22
1,0.65,150.00,288.00,4.95,4.97,5,65
1,1.00,86.00,126.00,4.85,4.97,4.97,227
1,0.92,100.00,208.00,4.67,4.7,4.7,12
1,0.93,225.00,177.00,4.92,5,5,24
1,0.92,99.00,109.00,4.63,4.86,4.91,118
1,0.92,76.00,251.00,4.62,4.86,4.59,22
1,1.00,185.00,114.00,4.95,4.87,4.96,399
1,1.00,160.00,328.00,4.93,4.92,4.98,123
2,0.92,59.00,206.00,4.81,4.92,4.96,54
1,0.92,106.00,148.00,4.41,4.63,4.89,19
1,1.00,225.00,239.00,4.91,4.97,4.97,34
1,0.92,86.00,95.00,4.85,4.92,4.77,14
1,0.93,120.00,123.00,4.84,4.94,4.93,131
1,1.00,129.00,60.00,4.85,4.98,4.85,42
1,0.00,320.00,0.00,5,5,4.87,16
1,0.00,145.00,2.00,4.9,4.96,4.86,243
1,1.00,129.00,90.00,4.97,5,5,37
1,0.71,887.00,365.00,4.54,4.52,4.66,231
2,0.81,95.00,241.00,4.8,4.8,4.91,218
1,1.00,95.00,0.00,4.52,4,5,21
1,1.00,299.00,167.00,4.87,4.87,5,31
1,1.00,100.00,175.00,4.96,4.97,4.97,189
1,0.96,225.00,356.00,4.91,5,4.96,46
1,0.90,155.00,170.00,4.89,4.94,4.9,83
1,1.00,107.00,314.00,4.84,4.95,4.97,354
1,0.98,120.00,33.00,4.91,4.96,4.97,601
1,0.67,89.00,117.00,4.9,4.94,4.97,357
1,1.00,219.00,350.00,4.93,4.83,4.97,270
1,0.92,76.00,200.00,4.75,4.13,4.88,8
2,0.92,109.00,339.00,4.67,4.85,4.83,204
1,0.50,180.00,302.00,5,5,5,13
1,0.60,540.00,362.00,4.93,4.93,4.98,42
1,0.25,217.00,145.00,4.34,4.7,4.82,59
1,0.92,86.00,185.00,4.23,4.5,4.64,24
1,0.81,162.00,254.00,4.86,4.87,4.96,257
1,0.72,275.00,359.00,4.82,4.89,4.86,73
1,0.72,295.00,356.00,4.8,4.71,4.86,67
2,0.81,115.00,255.00,4.84,4.84,4.92,256
1,0.27,72.00,4.00,4.85,4.94,4.94,34
2,1.00,190.00,280.00,4.91,4.83,5,23
2,1.00,190.00,280.00,4.96,5,5,52
2,0.99,108.00,188.00,4.29,4.26,4.68,154
1,1.00,500.00,264.00,4.95,4.95,4.9,21
1,0.57,230.00,128.00,5,4.7,5,22
1,0.62,200.00,0.00,4.79,4.64,4.93,14
1,0.95,125.00,224.00,4.95,4.97,4.97,438
1,1.00,236.00,142.00,4.86,4.91,4.88,80
1,0.99,137.00,298.00,4.7,4.8,4.88,506
1,0.95,150.00,343.00,4.65,4.86,4.78,66
1,0.86,100.00,67.00,4.94,4.92,4.97,224
1,0.92,274.00,317.00,4.91,4.88,4.94,252
2,0.00,55.00,50.00,4.61,4.33,4.9,52
1,0.71,387.00,137.00,4.89,4.92,4.94,93
1,0.98,79.00,209.00,4.67,4.87,4.86,75
1,0.71,150.00,356.00,4.86,4.9,5,31
1,0.59,625.00,281.00,4.68,4.14,4.71,59
2,0.97,136.00,6.00,4.92,4.97,5,68
1,0.00,129.00,0.00,4.91,4.96,4.95,484
1,0.00,60.00,66.00,4.63,4.73,4.93,0
2,0.88,169.00,119.00,4.63,4.73,4.93,16
1,1.00,279.00,108.00,5,5,5,4
1,0.43,128.00,86.00,4.32,4.14,4.41,22
1,1.00,160.00,322.00,4.9,4.78,4.9,250
1,0.00,148.00,22.00,4.86,4.97,4.96,171
1,0.99,145.00,279.00,4.86,4.83,4.91,481
1,1.00,135.00,263.00,4.89,4.93,4.96,144
1,1.00,200.00,8.00,4.98,4.92,4.99,651
1,0.65,265.00,162.00,4.9,4.95,4.97,39
1,1.00,195.00,358.00,4.56,4.32,4.96,25
1,1.00,149.00,212.00,4.89,4.96,4.98,141
2,0.71,295.00,319.00,4.81,4.96,4.86,82
2,1.00,142.00,323.00,4.76,4.96,4.88,131
